ZFIN:ZDB-GENE-061204-1	LARGE xylosyl- and glucuronyltransferase 1		GO:0043403		UniProt	NCBITaxon:7955	ISS	UniProtKB:Q9Z1M7	PANTHER:PTHR12270	protein_coding_gene		ZFIN:ZDB-PUB-110105-1	20141117	large1
ZFIN:ZDB-GENE-060616-238	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase		GO:0042246		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-111122-1	PANTHER:PTHR15075	protein_coding_gene		PMID:27795824|ZFIN:ZDB-PUB-161101-12	20170120	mgat5
ZFIN:ZDB-GENE-060616-238	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase		GO:0070658		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-111122-1	PANTHER:PTHR15075	protein_coding_gene		PMID:27795824|ZFIN:ZDB-PUB-161101-12	20170120	mgat5
ZFIN:ZDB-GENE-990415-183	notch receptor 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-041207-5	PANTHER:PTHR24049	protein_coding_gene		PMID:23344707|ZFIN:ZDB-PUB-130201-6	20141202	notch1b
ZFIN:ZDB-GENE-131121-332	platelet-derived growth factor beta polypeptide b		GO:0042246	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""UBERON:0000948"", ""label"": ""heart""}}"	BHF-UCL	NCBITaxon:7955	IMP		PANTHER:PTHR11633	protein_coding_gene	UniProtKB:E7FBB3	PMID:20858732|ZFIN:ZDB-PUB-101004-32	20170727	pdgfbb
ZFIN:ZDB-MIRNAG-090929-110	microRNA 101a		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-170831-7		miRNA		PMID:26628091|ZFIN:ZDB-PUB-151204-11	20170831	mir101a
ZFIN:ZDB-MIRNAG-090929-110	microRNA 101a		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-170831-8		miRNA		PMID:26628091|ZFIN:ZDB-PUB-151204-11	20170831	mir101a
ZFIN:ZDB-MIRNAG-090929-110	microRNA 101a		GO:0061026		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-031222-4		miRNA		PMID:26628091|ZFIN:ZDB-PUB-151204-11	20170831	mir101a
ZFIN:ZDB-GENE-980526-68	signal transducer and activator of transcription 3 (acute-phase response factor)		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-131101-5	PANTHER:PTHR11801	protein_coding_gene		PMID:23901114|ZFIN:ZDB-PUB-130816-32	20131105	stat3
ZFIN:ZDB-GENE-060503-86	keratin 17		GO:0031101		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR23239	protein_coding_gene		PMID:22278371|ZFIN:ZDB-PUB-120127-8	20120725	krt17
ZFIN:ZDB-GENE-021030-1	legumain		GO:0042246		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-140912-3	PANTHER:PTHR12000	protein_coding_gene		PMID:24747977|ZFIN:ZDB-PUB-140513-114	20140918	lgmn
ZFIN:ZDB-GENE-021030-1	legumain		GO:0042246		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-140912-4	PANTHER:PTHR12000	protein_coding_gene		PMID:24747977|ZFIN:ZDB-PUB-140513-114	20140918	lgmn
ZFIN:ZDB-GENE-040702-2	interleukin 1, beta		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-110620-2	PANTHER:PTHR10078	protein_coding_gene		PMID:28229859|ZFIN:ZDB-PUB-170224-8	20171012	il1b
ZFIN:ZDB-GENE-031110-4	tubulin, beta 5		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160627-2	PANTHER:PTHR11588	protein_coding_gene		PMID:26933814|ZFIN:ZDB-PUB-160305-23	20171122	tubb5
ZFIN:ZDB-GENE-030131-8373	collagen, type X, alpha 1a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160627-3	PANTHER:PTHR24023	protein_coding_gene		PMID:26933814|ZFIN:ZDB-PUB-160305-23	20171122	col10a1a
ZFIN:ZDB-GENE-990621-1	midkine a		GO:0070654		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-050531-5	PANTHER:PTHR13850	protein_coding_gene		PMID:25803551|ZFIN:ZDB-PUB-150325-3	20150820	mdka
ZFIN:ZDB-GENE-040426-1666	beclin 1, autophagy related		GO:0043416		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-161128-3|ZFIN:ZDB-MRPHLNO-161128-4	PANTHER:PTHR12768	protein_coding_gene		PMID:27467399|ZFIN:ZDB-PUB-160729-3	20170515	becn1
ZFIN:ZDB-GENE-010614-1	chemokine (C-X-C motif), receptor 4b	not	GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-030312-1	PANTHER:PTHR10489	protein_coding_gene		PMID:16586100|ZFIN:ZDB-PUB-060412-11	20061207	cxcr4b
ZFIN:ZDB-GENE-010614-1	chemokine (C-X-C motif), receptor 4b		GO:0042246		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR10489	protein_coding_gene		PMID:16205622|ZFIN:ZDB-PUB-051012-4	20051202	cxcr4b
ZFIN:ZDB-GENE-030131-3727	syndecan binding protein (syntenin) 2		GO:0042246		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160309-4	PANTHER:PTHR12345	protein_coding_gene		PMID:23607754|ZFIN:ZDB-PUB-130502-3	20160428	sdcbp2
ZFIN:ZDB-GENE-030828-12	heat shock protein 9		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-091104-1	PANTHER:PTHR19375	protein_coding_gene		PMID:18950614|ZFIN:ZDB-PUB-081029-13	20091104	hspa9
ZFIN:ZDB-GENE-030131-6896	La ribonucleoprotein 7, transcriptional regulator		GO:0061026		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-030131-321	PANTHER:PTHR22792	protein_coding_gene		PMID:26542022|ZFIN:ZDB-PUB-151107-2	20160830	larp7
ZFIN:ZDB-GENE-050208-525	platelet-derived growth factor beta polypeptide a		GO:0042246		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR11633	protein_coding_gene		PMID:16869712|ZFIN:ZDB-PUB-060731-13	20070205	pdgfba
ZFIN:ZDB-GENE-190104-2	gamma-glutamyltransferase 7		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-190110-8		protein_coding_gene		PMID:28871129|ZFIN:ZDB-PUB-170906-6	20190110	ggt7
ZFIN:ZDB-GENE-050506-15	HAUS augmin-like complex, subunit 7		GO:0042246		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR007007	PANTHER:PTHR14352	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	haus7
ZFIN:ZDB-GENE-030131-7249	anterior gradient 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-150521-2	PANTHER:PTHR15337	protein_coding_gene		PMID:25630240|ZFIN:ZDB-PUB-150130-3	20150528	agr1
ZFIN:ZDB-GENE-021206-1	heat shock 60 protein 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-051101-1	PANTHER:PTHR45633	protein_coding_gene		PMID:16204379|ZFIN:ZDB-PUB-051012-3	20051101	hspd1
ZFIN:ZDB-GENE-021206-1	heat shock 60 protein 1		GO:0042246		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-051101-1	PANTHER:PTHR45633	protein_coding_gene		PMID:16204379|ZFIN:ZDB-PUB-051012-3	20051101	hspd1
ZFIN:ZDB-GENE-000329-4	notch receptor 2		GO:0042246		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR12916	protein_coding_gene		PMID:16205622|ZFIN:ZDB-PUB-051012-4	20051202	notch2
ZFIN:ZDB-GENE-030131-6554	annexin A1b		GO:0014839		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002574794|MGI:MGI:96819	PANTHER:PTHR10502	protein_coding_gene		PMID:21873635	20180521	anxa1b
ZFIN:ZDB-GENE-991124-7	T-box transcription factor 5a		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-190912-9	PANTHER:PTHR11267	protein_coding_gene		PMID:29933372|ZFIN:ZDB-PUB-180624-8	20190912	tbx5a
ZFIN:ZDB-GENE-991124-7	T-box transcription factor 5a		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-190912-10	PANTHER:PTHR11267	protein_coding_gene		PMID:29933372|ZFIN:ZDB-PUB-180624-8	20190912	tbx5a
ZFIN:ZDB-GENE-040426-2132	matrix metallopeptidase 9		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100504-5	PANTHER:PTHR10201	protein_coding_gene		PMID:26015541|ZFIN:ZDB-PUB-150528-2	20151104	mmp9
ZFIN:ZDB-GENE-040426-3	cellular communication network factor 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-190110-9	PANTHER:PTHR11348	protein_coding_gene		PMID:28871129|ZFIN:ZDB-PUB-170906-6	20190110	ccn1
ZFIN:ZDB-GENE-980526-166	sonic hedgehog signaling molecule a		GO:1905178		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-171114-6	PANTHER:PTHR11889	protein_coding_gene		PMID:28513431|ZFIN:ZDB-PUB-170518-2	20171114	shha
ZFIN:ZDB-GENE-990715-2	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D		GO:0031101		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-050302-175	PANTHER:PTHR11036	protein_coding_gene		PMID:26828861|ZFIN:ZDB-PUB-160202-7	20160907	sema3d
ZFIN:ZDB-GENE-990715-2	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-120627-1	PANTHER:PTHR11036	protein_coding_gene		PMID:26828861|ZFIN:ZDB-PUB-160202-7	20160907	sema3d
ZFIN:ZDB-GENE-990715-2	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-120627-1	PANTHER:PTHR11036	protein_coding_gene		PMID:22542598|ZFIN:ZDB-PUB-120503-2	20120711	sema3d
ZFIN:ZDB-GENE-071119-6	leucine rich repeat containing 10		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-191219-17	PANTHER:PTHR16083	protein_coding_gene		PMID:30462998|ZFIN:ZDB-PUB-181127-42	20191219	lrrc10
ZFIN:ZDB-GENE-011128-4	jagged canonical Notch ligand 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-041207-3	PANTHER:PTHR24044	protein_coding_gene		PMID:23344707|ZFIN:ZDB-PUB-130201-6	20141202	jag1b
ZFIN:ZDB-GENE-040724-166	lysine (K)-specific demethylase 6B, b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100218-8	PANTHER:PTHR14017	protein_coding_gene		PMID:19897725|ZFIN:ZDB-PUB-091120-38	20100302	kdm6bb
ZFIN:ZDB-GENE-040724-166	lysine (K)-specific demethylase 6B, b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100218-10	PANTHER:PTHR14017	protein_coding_gene		PMID:19897725|ZFIN:ZDB-PUB-091120-38	20100302	kdm6bb
ZFIN:ZDB-GENE-980526-26	muscle segment homeobox 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-060222-3	PANTHER:PTHR24338	protein_coding_gene		PMID:20089153|ZFIN:ZDB-PUB-100126-8	20110610	msx1b
ZFIN:ZDB-GENE-980526-26	muscle segment homeobox 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-060222-3	PANTHER:PTHR24338	protein_coding_gene		PMID:16273523|ZFIN:ZDB-PUB-051114-6	20060223	msx1b
ZFIN:ZDB-GENE-980526-26	muscle segment homeobox 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-060222-4|ZFIN:ZDB-MRPHLNO-060223-1	PANTHER:PTHR24338	protein_coding_gene		PMID:16273523|ZFIN:ZDB-PUB-051114-6	20060223	msx1b
ZFIN:ZDB-GENE-040426-2863	Fas (TNFRSF6) associated factor 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-190104-1	PANTHER:PTHR23322	protein_coding_gene		PMID:28871129|ZFIN:ZDB-PUB-170906-6	20190110	faf1
ZFIN:ZDB-GENE-040426-2854	Mtr4 exosome RNA helicase		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-071114-2	PANTHER:PTHR12131	protein_coding_gene		PMID:17542649|ZFIN:ZDB-PUB-070625-3	20071114	mtrex
ZFIN:ZDB-GENE-020419-32	histone deacetylase 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP		PANTHER:PTHR10625	protein_coding_gene		PMID:24779377|ZFIN:ZDB-PUB-140513-63	20141017	hdac1
ZFIN:ZDB-GENE-020419-11	ATPase H+ transporting V1 subunit E1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-140911-3	PANTHER:PTHR45715	protein_coding_gene		PMID:24671205|ZFIN:ZDB-PUB-140513-269	20140917	atp6v1e1b
ZFIN:ZDB-GENE-030131-321	cyclin-dependent kinase 9 (CDC2-related kinase)		GO:0061026		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-030131-6896	PANTHER:PTHR24056	protein_coding_gene		PMID:26542022|ZFIN:ZDB-PUB-151107-2	20160830	cdk9
ZFIN:ZDB-GENE-030131-321	cyclin-dependent kinase 9 (CDC2-related kinase)		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100728-5	PANTHER:PTHR24056	protein_coding_gene		PMID:26542022|ZFIN:ZDB-PUB-151107-2	20160830	cdk9
ZFIN:ZDB-GENE-070228-5	un-named be1324		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-070228-8		protein_coding_gene		PMID:17114576|ZFIN:ZDB-PUB-061205-10	20070301	unm_be1324
ZFIN:ZDB-GENE-030131-5935	phoenix		GO:0070658		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-090513-2	PANTHER:PTHR15484	protein_coding_gene		PMID:19381250|ZFIN:ZDB-PUB-090424-19	20090605	pho
ZFIN:ZDB-GENE-050417-72	annexin A1d		GO:0014839		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002574794|MGI:MGI:96819	PANTHER:PTHR10502	protein_coding_gene		PMID:21873635	20180521	anxa1d
ZFIN:ZDB-GENE-030717-2	wingless-type MMTV integration site family, member 2Ba		GO:0070654		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR12027	protein_coding_gene		PMID:21911394|ZFIN:ZDB-PUB-110920-18	20111114	wnt2ba
ZFIN:ZDB-GENE-980526-265	myogenin		GO:0014835		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-171130-7	PANTHER:PTHR11534	protein_coding_gene		PMID:27198673|ZFIN:ZDB-PUB-160521-8	20171130	myog
ZFIN:ZDB-GENE-980526-265	myogenin		GO:0014844		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-171130-7	PANTHER:PTHR11534	protein_coding_gene		PMID:27198673|ZFIN:ZDB-PUB-160521-8	20171130	myog
ZFIN:ZDB-GENE-980526-255	fibroblast growth factor receptor 1a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-070131-9	PANTHER:PTHR24416	protein_coding_gene		PMID:18701543|ZFIN:ZDB-PUB-080826-13	20090109	fgfr1a
ZFIN:ZDB-GENE-040426-2178	akirin 1		GO:0014839		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002665250|MGI:MGI:1915300	PANTHER:PTHR13293	protein_coding_gene		PMID:21873635	20200806	akirin1
ZFIN:ZDB-GENE-030421-3	phospholipase C, gamma 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-030502-1	PANTHER:PTHR10336	protein_coding_gene		PMID:16565716|ZFIN:ZDB-PUB-060403-4	20060814	plcg1
ZFIN:ZDB-GENE-980526-90	achaete-scute family bHLH transcription factor 1a		GO:0070654		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-040426-1810|ZFIN:ZDB-GENE-990708-5	PANTHER:PTHR13935	protein_coding_gene		PMID:23000964|ZFIN:ZDB-PUB-121004-18	20131122	ascl1a
ZFIN:ZDB-GENE-980526-90	achaete-scute family bHLH transcription factor 1a		GO:0070654		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR13935	protein_coding_gene		PMID:21911394|ZFIN:ZDB-PUB-110920-18	20111114	ascl1a
ZFIN:ZDB-GENE-980526-87	wingless-type MMTV integration site family, member 5b		GO:0031101		ZFIN	NCBITaxon:7955	IMP		PANTHER:PTHR12027	protein_coding_gene		PMID:19445916|ZFIN:ZDB-PUB-090526-2	20100709	wnt5b
ZFIN:ZDB-GENE-980526-87	wingless-type MMTV integration site family, member 5b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-980202-1367	PANTHER:PTHR12027	protein_coding_gene		PMID:17185322|ZFIN:ZDB-PUB-061229-24	20070403	wnt5b
ZFIN:ZDB-GENE-030131-475	TGFB-induced factor homeobox 1		GO:0070654		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-131016-13	PANTHER:PTHR11850	protein_coding_gene		PMID:23918319|ZFIN:ZDB-PUB-130830-2	20131031	tgif1
ZFIN:ZDB-GENE-030131-475	TGFB-induced factor homeobox 1		GO:0070654		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENO-131030-2	PANTHER:PTHR11850	protein_coding_gene		PMID:23918319|ZFIN:ZDB-PUB-130830-2	20131031	tgif1
ZFIN:ZDB-GENE-020503-2	insulin-like growth factor 1b receptor		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-061130-5	PANTHER:PTHR24416	protein_coding_gene		PMID:20179093|ZFIN:ZDB-PUB-100322-19	20110610	igf1rb
ZFIN:ZDB-GENE-020503-1	insulin-like growth factor 1a receptor		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-061130-3	PANTHER:PTHR24416	protein_coding_gene		PMID:20179093|ZFIN:ZDB-PUB-100322-19	20110610	igf1ra
ZFIN:ZDB-GENE-030131-445	retinoblastoma binding protein 4		GO:0031101		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MRPHLNO-140930-5|ZFIN:ZDB-MRPHLNO-140930-6	PANTHER:PTHR22850	protein_coding_gene		PMID:24779377|ZFIN:ZDB-PUB-140513-63	20141017	rbbp4
ZFIN:ZDB-GENE-080204-119	heparin-binding EGF-like growth factor a		GO:0070654		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-121017-3	PANTHER:PTHR10740	protein_coding_gene		PMID:22340497|ZFIN:ZDB-PUB-120223-1	20130823	hbegfa
ZFIN:ZDB-GENE-080204-119	heparin-binding EGF-like growth factor a		GO:0070654		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-040426-1810	PANTHER:PTHR10740	protein_coding_gene		PMID:23000964|ZFIN:ZDB-PUB-121004-18	20131122	hbegfa
ZFIN:ZDB-GENE-040426-2380	voltage-dependent anion channel 3		GO:0031101		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR11743	protein_coding_gene		PMID:22278371|ZFIN:ZDB-PUB-120127-8	20120725	vdac3
ZFIN:ZDB-GENE-090313-406	dickkopf WNT signaling pathway inhibitor 1a		GO:0070654		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR12113	protein_coding_gene		PMID:21911394|ZFIN:ZDB-PUB-110920-18	20111114	dkk1a
ZFIN:ZDB-GENE-011010-3	aldehyde dehydrogenase 1 family, member A2		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100517-4	PANTHER:PTHR11699	protein_coding_gene		PMID:19801676|ZFIN:ZDB-PUB-091023-20	20110608	aldh1a2
ZFIN:ZDB-GENE-120313-3	growth factor receptor-bound protein 14		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-190104-2		protein_coding_gene		PMID:28871129|ZFIN:ZDB-PUB-170906-6	20190110	grb14
ZFIN:ZDB-GENE-030131-848	retinoblastoma binding protein 4, like		GO:0031101		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MRPHLNO-140930-5|ZFIN:ZDB-MRPHLNO-140930-6	PANTHER:PTHR22850	protein_coding_gene		PMID:24779377|ZFIN:ZDB-PUB-140513-63	20141017	rbb4l
ZFIN:ZDB-GENE-030131-845	voltage-dependent anion channel 2		GO:0031101		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR11743	protein_coding_gene		PMID:22278371|ZFIN:ZDB-PUB-120127-8	20120725	vdac2
ZFIN:ZDB-GENE-030131-2415	caveolin 1		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-160405-4	PANTHER:PTHR10844	protein_coding_gene		PMID:26657776|ZFIN:ZDB-PUB-151216-17	20160405	cav1
ZFIN:ZDB-GENE-030131-2415	caveolin 1		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-160405-9	PANTHER:PTHR10844	protein_coding_gene		PMID:26657776|ZFIN:ZDB-PUB-151216-17	20160405	cav1
ZFIN:ZDB-GENE-030131-2415	caveolin 1		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-160405-3	PANTHER:PTHR10844	protein_coding_gene		PMID:26657776|ZFIN:ZDB-PUB-151216-17	20160405	cav1
ZFIN:ZDB-GENE-111129-2	musculoskeletal, embryonic nuclear protein 1b		GO:0042246		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR031394		protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	mustn1b
ZFIN:ZDB-GENE-990415-171	cadherin 2, type 1, N-cadherin (neuronal)		GO:0070654		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-080710-5	PANTHER:PTHR24027	protein_coding_gene		PMID:24154521|ZFIN:ZDB-PUB-131121-8	20150112	cdh2
ZFIN:ZDB-GENE-990415-171	cadherin 2, type 1, N-cadherin (neuronal)		GO:0042246		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR24027	protein_coding_gene		PMID:16205622|ZFIN:ZDB-PUB-051012-4	20051202	cdh2
ZFIN:ZDB-GENE-990415-128	SIX homeobox 3b		GO:0070654		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENO-131030-2	PANTHER:PTHR10390	protein_coding_gene		PMID:23918319|ZFIN:ZDB-PUB-130830-2	20131031	six3b
