Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSDARG00000108328,5S_rRNA,,
ENSDARG00000089387,5S_rRNA,,
ENSDARG00000106311,5S_rRNA,,
ENSDARG00000107248,5S_rRNA,,
ENSDARG00000108643,5S_rRNA,,
ENSDARG00000084540,5S_rRNA,,
ENSDARG00000082633,5S_rRNA,,
ENSDARG00000107201,5S_rRNA,,
ENSDARG00000107805,5S_rRNA,,
ENSDARG00000082600,5S_rRNA,,
ENSDARG00000080370,5S_rRNA,ENSG00000272253,RNA5SP386
ENSDARG00000080370,5S_rRNA,ENSG00000199874,RNA5SP452
ENSDARG00000080370,5S_rRNA,ENSG00000199354,RNA5SP273
ENSDARG00000085140,5S_rRNA,,
ENSDARG00000107978,5S_rRNA,,
ENSDARG00000100921,5S_rRNA,ENSG00000272253,RNA5SP386
ENSDARG00000100921,5S_rRNA,ENSG00000199874,RNA5SP452
ENSDARG00000100921,5S_rRNA,ENSG00000199354,RNA5SP273
ENSDARG00000098120,5S_rRNA,,
ENSDARG00000108803,5S_rRNA,,
ENSDARG00000107479,5S_rRNA,,
ENSDARG00000100298,5S_rRNA,ENSG00000272253,RNA5SP386
ENSDARG00000100298,5S_rRNA,ENSG00000199874,RNA5SP452
ENSDARG00000100298,5S_rRNA,ENSG00000199354,RNA5SP273
ENSDARG00000107174,5S_rRNA,,
ENSDARG00000080223,5S_rRNA,,
ENSDARG00000107613,5S_rRNA,,
ENSDARG00000108690,5S_rRNA,,
ENSDARG00000103835,5S_rRNA,,
ENSDARG00000107712,5S_rRNA,,
ENSDARG00000081067,5S_rRNA,,
ENSDARG00000107820,5S_rRNA,,
ENSDARG00000108101,5S_rRNA,,
ENSDARG00000101108,5S_rRNA,,
ENSDARG00000107135,5S_rRNA,,
ENSDARG00000106710,5S_rRNA,,
ENSDARG00000083005,5S_rRNA,,
ENSDARG00000106411,5S_rRNA,,
ENSDARG00000104967,5S_rRNA,,
ENSDARG00000107213,5S_rRNA,,
ENSDARG00000108637,5S_rRNA,,
ENSDARG00000085317,5S_rRNA,,
ENSDARG00000106182,5S_rRNA,,
ENSDARG00000103780,5S_rRNA,,
ENSDARG00000099037,5S_rRNA,ENSG00000272253,RNA5SP386
ENSDARG00000099037,5S_rRNA,ENSG00000199874,RNA5SP452
ENSDARG00000099037,5S_rRNA,ENSG00000199354,RNA5SP273
ENSDARG00000107719,5S_rRNA,,
ENSDARG00000085740,5S_rRNA,,
ENSDARG00000109043,5S_rRNA,,
ENSDARG00000084493,5S_rRNA,,
ENSDARG00000107073,5S_rRNA,,
ENSDARG00000107903,5S_rRNA,,
ENSDARG00000101620,5S_rRNA,,
ENSDARG00000107549,5S_rRNA,,
ENSDARG00000098553,5S_rRNA,ENSG00000252072,RNA5SP320
ENSDARG00000098553,5S_rRNA,ENSG00000252877,RNA5SP312
ENSDARG00000098553,5S_rRNA,ENSG00000238405,RNA5SP311
ENSDARG00000098553,5S_rRNA,ENSG00000252149,RNA5SP315
ENSDARG00000098553,5S_rRNA,ENSG00000222108,RNA5SP317
ENSDARG00000098553,5S_rRNA,ENSG00000239152,RNA5SP310
ENSDARG00000108956,5S_rRNA,,
ENSDARG00000106996,5S_rRNA,,
ENSDARG00000080031,5S_rRNA,,
ENSDARG00000106351,5S_rRNA,,
ENSDARG00000102126,5S_rRNA,,
ENSDARG00000108920,5S_rRNA,,
ENSDARG00000109020,5S_rRNA,,
ENSDARG00000085923,5S_rRNA,,
ENSDARG00000107724,5S_rRNA,,
ENSDARG00000084910,5S_rRNA,,
ENSDARG00000108016,5S_rRNA,,
ENSDARG00000107216,5S_rRNA,,
ENSDARG00000105917,5S_rRNA,,
ENSDARG00000106251,5S_rRNA,,
ENSDARG00000098863,5S_rRNA,,
ENSDARG00000084281,5S_rRNA,,
ENSDARG00000081329,5S_rRNA,,
ENSDARG00000098556,5S_rRNA,,
ENSDARG00000103782,5S_rRNA,,
ENSDARG00000107781,5S_rRNA,,
ENSDARG00000083332,5S_rRNA,,
ENSDARG00000081487,5S_rRNA,,
ENSDARG00000108551,5S_rRNA,,
ENSDARG00000107847,5S_rRNA,,
ENSDARG00000107356,5S_rRNA,,
ENSDARG00000081715,5S_rRNA,,
ENSDARG00000085518,5S_rRNA,,
ENSDARG00000106041,5S_rRNA,,
ENSDARG00000107976,5S_rRNA,,
ENSDARG00000100100,5S_rRNA,ENSG00000252970,RNA5SP159
ENSDARG00000081900,5S_rRNA,,
ENSDARG00000081059,5S_rRNA,,
ENSDARG00000107826,5S_rRNA,,
ENSDARG00000108309,5S_rRNA,,
ENSDARG00000081069,5S_rRNA,,
ENSDARG00000106497,5S_rRNA,,
ENSDARG00000108948,5S_rRNA,,
ENSDARG00000084853,5S_rRNA,,
ENSDARG00000107142,5S_rRNA,,
ENSDARG00000107203,5S_rRNA,,
ENSDARG00000081566,5S_rRNA,,
ENSDARG00000107316,5S_rRNA,,
ENSDARG00000085985,5S_rRNA,,
ENSDARG00000106547,5S_rRNA,,
ENSDARG00000080999,5S_rRNA,,
ENSDARG00000108768,5S_rRNA,,
ENSDARG00000084589,5S_rRNA,,
ENSDARG00000102842,5S_rRNA,,
ENSDARG00000107453,5S_rRNA,,
ENSDARG00000084430,5S_rRNA,,
ENSDARG00000080533,SNORA21,ENSG00000199293,SNORA21
ENSDARG00000101850,5S_rRNA,,
ENSDARG00000107267,5S_rRNA,,
ENSDARG00000080727,5S_rRNA,,
ENSDARG00000106269,5S_rRNA,,
ENSDARG00000083238,5S_rRNA,,
ENSDARG00000107394,5S_rRNA,,
ENSDARG00000106802,5S_rRNA,,
ENSDARG00000082407,5S_rRNA,,
ENSDARG00000104585,5S_rRNA,,
ENSDARG00000108341,5S_rRNA,,
ENSDARG00000082068,5S_rRNA,,
ENSDARG00000088916,5S_rRNA,,
ENSDARG00000081050,SNORA21,ENSG00000199293,SNORA21
ENSDARG00000085246,5S_rRNA,,
ENSDARG00000102238,5S_rRNA,,
ENSDARG00000107950,5S_rRNA,,
ENSDARG00000081368,SNORD52,ENSG00000201754,SNORD52
ENSDARG00000085284,5S_rRNA,,
ENSDARG00000084908,5S_rRNA,,
ENSDARG00000100689,5S_rRNA,ENSG00000272253,RNA5SP386
ENSDARG00000100689,5S_rRNA,ENSG00000199874,RNA5SP452
ENSDARG00000100689,5S_rRNA,ENSG00000199354,RNA5SP273
ENSDARG00000082666,5S_rRNA,,
ENSDARG00000085691,SNORD52,ENSG00000201754,SNORD52
ENSDARG00000082252,5S_rRNA,,
ENSDARG00000108319,5S_rRNA,,
ENSDARG00000090214,5S_rRNA,,
ENSDARG00000085968,5S_rRNA,,
ENSDARG00000084582,SNORD52,ENSG00000201754,SNORD52
ENSDARG00000108889,5S_rRNA,,
ENSDARG00000083061,5S_rRNA,,
ENSDARG00000103695,5S_rRNA,ENSG00000252970,RNA5SP159
ENSDARG00000106689,5S_rRNA,,
ENSDARG00000085831,SNORD52,ENSG00000201754,SNORD52
ENSDARG00000085602,5S_rRNA,,
ENSDARG00000107680,5S_rRNA,,
ENSDARG00000084585,5S_rRNA,ENSG00000251997,RNA5SP458
ENSDARG00000084585,5S_rRNA,ENSG00000223013,RNA5SP344
ENSDARG00000084585,5S_rRNA,ENSG00000199786,RNA5SP188
ENSDARG00000084585,5S_rRNA,ENSG00000251873,RNA5SP182
ENSDARG00000084585,5S_rRNA,ENSG00000252342,RNA5SP164
ENSDARG00000084585,5S_rRNA,ENSG00000222178,RNA5SP181
ENSDARG00000084585,5S_rRNA,ENSG00000252747,RNA5SP364
ENSDARG00000085131,5S_rRNA,,
ENSDARG00000084802,SNORD52,ENSG00000201754,SNORD52
ENSDARG00000109159,5S_rRNA,,
ENSDARG00000082901,5S_rRNA,,
ENSDARG00000084797,5S_rRNA,,
ENSDARG00000106151,5S_rRNA,,
ENSDARG00000084500,SNORD52,ENSG00000201754,SNORD52
ENSDARG00000105152,5S_rRNA,,
ENSDARG00000085584,5S_rRNA,,
ENSDARG00000109066,5S_rRNA,,
ENSDARG00000099570,5S_rRNA,,
ENSDARG00000083719,SNORD52,ENSG00000201754,SNORD52
ENSDARG00000081158,5S_rRNA,,
ENSDARG00000106145,5S_rRNA,,
ENSDARG00000085613,5S_rRNA,,
ENSDARG00000107224,5S_rRNA,,
ENSDARG00000084136,5S_rRNA,,
ENSDARG00000108087,5S_rRNA,,
ENSDARG00000084989,SNORD52,ENSG00000201754,SNORD52
ENSDARG00000084772,5S_rRNA,,
ENSDARG00000107778,5S_rRNA,,
ENSDARG00000083060,U6atac,ENSG00000210839,RNU6ATAC5P
ENSDARG00000083060,U6atac,ENSG00000221216,RNU6ATAC27P
ENSDARG00000083060,U6atac,ENSG00000221806,RNU6ATAC34P
ENSDARG00000083060,U6atac,ENSG00000210678,RNU6ATAC2P
ENSDARG00000083060,U6atac,ENSG00000221387,RNU6ATAC8P
ENSDARG00000083060,U6atac,ENSG00000238561,RNU6ATAC28P
ENSDARG00000083060,U6atac,ENSG00000221468,RNU6ATAC11P
ENSDARG00000083060,U6atac,ENSG00000221038,RNU6ATAC7P
ENSDARG00000083060,U6atac,ENSG00000221340,RNU6ATAC18P
ENSDARG00000083060,U6atac,ENSG00000221676,RNU6ATAC
ENSDARG00000083060,U6atac,ENSG00000210709,RNU6ATAC3P
ENSDARG00000083060,U6atac,ENSG00000221574,RNU6ATAC33P
ENSDARG00000083060,U6atac,ENSG00000210181,RNU6ATAC4P
ENSDARG00000083060,U6atac,ENSG00000221440,RNU6ATAC31P
ENSDARG00000107265,5S_rRNA,,
ENSDARG00000084048,5S_rRNA,,
ENSDARG00000080562,U6atac,,
ENSDARG00000107017,5S_rRNA,,
ENSDARG00000084166,5S_rRNA,ENSG00000251746,RNA5SP112
ENSDARG00000084166,5S_rRNA,ENSG00000199402,RNA5SP308
ENSDARG00000105847,5S_rRNA,,
ENSDARG00000108269,5S_rRNA,,
ENSDARG00000081976,5S_rRNA,,
ENSDARG00000107286,5S_rRNA,,
ENSDARG00000108098,5S_rRNA,,
ENSDARG00000101904,5S_rRNA,,
ENSDARG00000106047,5S_rRNA,,
ENSDARG00000106503,5S_rRNA,,
ENSDARG00000080093,5S_rRNA,,
ENSDARG00000085186,5S_rRNA,,
ENSDARG00000109167,5S_rRNA,,
ENSDARG00000085536,5S_rRNA,,
ENSDARG00000099818,5S_rRNA,,
ENSDARG00000108264,5S_rRNA,,
ENSDARG00000084215,5S_rRNA,,
ENSDARG00000107341,5S_rRNA,,
ENSDARG00000107732,5S_rRNA,,
ENSDARG00000108550,5S_rRNA,,
ENSDARG00000084053,5S_rRNA,,
ENSDARG00000107630,5S_rRNA,,
ENSDARG00000107168,5S_rRNA,,
ENSDARG00000085090,5S_rRNA,,
ENSDARG00000107318,5S_rRNA,,
ENSDARG00000106506,5S_rRNA,,
ENSDARG00000085946,5S_rRNA,,
ENSDARG00000103742,5S_rRNA,ENSG00000272253,RNA5SP386
ENSDARG00000103742,5S_rRNA,ENSG00000199874,RNA5SP452
ENSDARG00000103742,5S_rRNA,ENSG00000199354,RNA5SP273
ENSDARG00000108103,5S_rRNA,,
ENSDARG00000109170,5S_rRNA,,
ENSDARG00000107942,5S_rRNA,,
ENSDARG00000106919,5S_rRNA,,
ENSDARG00000107461,5S_rRNA,,
ENSDARG00000082551,5S_rRNA,,
ENSDARG00000087073,5S_rRNA,,
ENSDARG00000107944,5S_rRNA,,
ENSDARG00000085854,5S_rRNA,,
ENSDARG00000106518,5S_rRNA,,
ENSDARG00000099326,5S_rRNA,,
ENSDARG00000109201,5S_rRNA,,
ENSDARG00000106003,5S_rRNA,,
ENSDARG00000106982,5S_rRNA,,
ENSDARG00000105871,5S_rRNA,,
ENSDARG00000106279,5S_rRNA,,
ENSDARG00000106632,5S_rRNA,,
ENSDARG00000107806,5S_rRNA,,
ENSDARG00000108154,5S_rRNA,,
ENSDARG00000108960,5S_rRNA,,
ENSDARG00000109068,5S_rRNA,,
ENSDARG00000107324,5S_rRNA,,
ENSDARG00000107921,5S_rRNA,,
ENSDARG00000108486,5S_rRNA,,
ENSDARG00000106072,5S_rRNA,,
ENSDARG00000106640,5S_rRNA,,
ENSDARG00000108927,5S_rRNA,,
ENSDARG00000109032,5S_rRNA,,
ENSDARG00000106746,5S_rRNA,,
ENSDARG00000106562,5S_rRNA,,
ENSDARG00000106421,5S_rRNA,,
ENSDARG00000082020,SNORA69,ENSG00000212206,SNORA69
ENSDARG00000082020,SNORA69,ENSG00000206622,SNORA69
ENSDARG00000108693,5S_rRNA,,
ENSDARG00000105989,5S_rRNA,,
ENSDARG00000106646,5S_rRNA,,
ENSDARG00000108974,5S_rRNA,,
ENSDARG00000107007,5S_rRNA,,
ENSDARG00000108043,5S_rRNA,,
ENSDARG00000108926,5S_rRNA,,
ENSDARG00000105995,5S_rRNA,,
ENSDARG00000108809,5S_rRNA,,
ENSDARG00000108232,5S_rRNA,,
ENSDARG00000107208,5S_rRNA,,
ENSDARG00000106186,5S_rRNA,,
ENSDARG00000107294,5S_rRNA,,
ENSDARG00000108612,5S_rRNA,,
ENSDARG00000108260,5S_rRNA,,
ENSDARG00000107649,5S_rRNA,,
ENSDARG00000108259,5S_rRNA,,
ENSDARG00000109194,5S_rRNA,,
ENSDARG00000107707,5S_rRNA,,
ENSDARG00000106545,5S_rRNA,,
ENSDARG00000106293,SNORD38,ENSG00000202031,SNORD38A
ENSDARG00000108966,5S_rRNA,,
ENSDARG00000108314,5S_rRNA,,
ENSDARG00000108024,5S_rRNA,,
ENSDARG00000108802,SNORD38,ENSG00000207199,SNORD38
ENSDARG00000108802,SNORD38,ENSG00000200733,SNORD38
ENSDARG00000108802,SNORD38,ENSG00000252408,SNORD38
ENSDARG00000108802,SNORD38,ENSG00000207109,SNORD38C
ENSDARG00000108802,SNORD38,ENSG00000281859,SNORD38B
ENSDARG00000106596,5S_rRNA,,
ENSDARG00000107078,5S_rRNA,,
ENSDARG00000108005,5S_rRNA,,
ENSDARG00000108872,5S_rRNA,,
ENSDARG00000084670,SNORA55,ENSG00000201457,SNORA55
ENSDARG00000108365,5S_rRNA,,
ENSDARG00000108294,5S_rRNA,,
ENSDARG00000107485,5S_rRNA,,
ENSDARG00000106042,5S_rRNA,,
ENSDARG00000106928,5S_rRNA,,
ENSDARG00000084034,SNORA55,ENSG00000201457,SNORA55
ENSDARG00000108597,5S_rRNA,,
ENSDARG00000105878,5S_rRNA,,
ENSDARG00000105967,5S_rRNA,,
ENSDARG00000107079,5S_rRNA,,
ENSDARG00000099668,snopsi28S-3327,ENSG00000274582,SNORA16A
ENSDARG00000106717,5S_rRNA,,
ENSDARG00000108695,5S_rRNA,,
ENSDARG00000107911,5S_rRNA,,
ENSDARG00000083950,snoU83B,ENSG00000209482,SNORD83A
ENSDARG00000108025,5S_rRNA,,
ENSDARG00000108701,5S_rRNA,,
ENSDARG00000109133,5S_rRNA,,
ENSDARG00000106875,5S_rRNA,,
ENSDARG00000107907,5S_rRNA,,
ENSDARG00000083378,SNORA63,ENSG00000200320,SNORA63
ENSDARG00000105852,5S_rRNA,,
ENSDARG00000106523,5S_rRNA,,
ENSDARG00000108568,5S_rRNA,,
ENSDARG00000107964,5S_rRNA,,
ENSDARG00000082423,SNORA63,ENSG00000200320,SNORA63
ENSDARG00000108290,5S_rRNA,,
ENSDARG00000107150,5S_rRNA,,
ENSDARG00000106395,5S_rRNA,,
ENSDARG00000107617,5S_rRNA,,
ENSDARG00000107834,5S_rRNA,,
ENSDARG00000081702,SNORA63,ENSG00000200320,SNORA63
ENSDARG00000106882,5S_rRNA,,
ENSDARG00000105986,5S_rRNA,,
ENSDARG00000107029,5S_rRNA,,
ENSDARG00000106943,5S_rRNA,,
ENSDARG00000080690,SNORA63,ENSG00000200320,SNORA63
ENSDARG00000107692,5S_rRNA,,
ENSDARG00000106354,5S_rRNA,,
ENSDARG00000108497,5S_rRNA,,
ENSDARG00000082928,SNORA63,ENSG00000200320,SNORA63
ENSDARG00000108367,5S_rRNA,,
ENSDARG00000107646,5S_rRNA,,
ENSDARG00000107754,5S_rRNA,,
ENSDARG00000108339,5S_rRNA,,
ENSDARG00000081568,SNORD33,ENSG00000252022,SNORD33
ENSDARG00000107792,5S_rRNA,,
ENSDARG00000107472,5S_rRNA,,
ENSDARG00000081926,SNORD33,ENSG00000252022,SNORD33
ENSDARG00000108300,5S_rRNA,,
ENSDARG00000106313,5S_rRNA,,
ENSDARG00000107731,5S_rRNA,,
ENSDARG00000108115,5S_rRNA,,
ENSDARG00000108438,5S_rRNA,,
ENSDARG00000107703,5S_rRNA,,
ENSDARG00000108206,5S_rRNA,,
ENSDARG00000107054,5S_rRNA,,
ENSDARG00000105925,5S_rRNA,,
ENSDARG00000081996,5S_rRNA,,
ENSDARG00000106184,5S_rRNA,,
ENSDARG00000109176,5S_rRNA,,
ENSDARG00000104602,5S_rRNA,,
ENSDARG00000108261,5S_rRNA,,
ENSDARG00000107682,5S_rRNA,,
ENSDARG00000108758,5S_rRNA,,
ENSDARG00000106375,5S_rRNA,,
ENSDARG00000106499,5S_rRNA,,
ENSDARG00000105942,5S_rRNA,,
ENSDARG00000107253,5S_rRNA,,
ENSDARG00000107955,5S_rRNA,,
ENSDARG00000083676,5S_rRNA,,
ENSDARG00000108526,5S_rRNA,,
ENSDARG00000108120,5S_rRNA,,
ENSDARG00000084970,5S_rRNA,,
ENSDARG00000106291,5S_rRNA,,
ENSDARG00000107622,5S_rRNA,,
ENSDARG00000083952,5S_rRNA,,
ENSDARG00000083852,5S_rRNA,,
ENSDARG00000108845,5S_rRNA,,
ENSDARG00000108673,5S_rRNA,,
ENSDARG00000085884,5S_rRNA,,
ENSDARG00000106253,5S_rRNA,,
ENSDARG00000107176,5S_rRNA,,
ENSDARG00000084859,5S_rRNA,,
ENSDARG00000107930,5S_rRNA,,
ENSDARG00000107728,5S_rRNA,,
ENSDARG00000085746,5S_rRNA,,
ENSDARG00000107595,5S_rRNA,,
ENSDARG00000084965,5S_rRNA,,
ENSDARG00000106840,5S_rRNA,,
ENSDARG00000084202,5S_rRNA,,
ENSDARG00000109069,5S_rRNA,,
ENSDARG00000082534,5S_rRNA,,
ENSDARG00000082983,5S_rRNA,,
ENSDARG00000108760,5S_rRNA,,
ENSDARG00000084142,5S_rRNA,,
ENSDARG00000100874,5S_rRNA,,
ENSDARG00000107158,5S_rRNA,,
ENSDARG00000082078,5S_rRNA,,
ENSDARG00000086521,5S_rRNA,,
ENSDARG00000106754,5S_rRNA,,
ENSDARG00000084433,5S_rRNA,,
ENSDARG00000082417,5S_rRNA,,
ENSDARG00000106819,5S_rRNA,,
ENSDARG00000101168,5S_rRNA,,
ENSDARG00000109058,5S_rRNA,,
ENSDARG00000082391,5S_rRNA,,
ENSDARG00000104224,5S_rRNA,,
ENSDARG00000108141,5S_rRNA,,
ENSDARG00000083914,5S_rRNA,,
ENSDARG00000083816,5S_rRNA,,
ENSDARG00000107812,5S_rRNA,,
ENSDARG00000080345,5S_rRNA,,
ENSDARG00000084856,5S_rRNA,,
ENSDARG00000109198,5S_rRNA,,
ENSDARG00000083103,5S_rRNA,,
ENSDARG00000085514,5S_rRNA,,
ENSDARG00000080201,5S_rRNA,,
ENSDARG00000084398,5S_rRNA,,
ENSDARG00000080278,5S_rRNA,,
ENSDARG00000080040,5S_rRNA,,
ENSDARG00000081196,5S_rRNA,,
ENSDARG00000082109,5S_rRNA,,
ENSDARG00000085449,5S_rRNA,,
ENSDARG00000104776,5S_rRNA,,
ENSDARG00000080110,5S_rRNA,,
ENSDARG00000080645,5S_rRNA,,
ENSDARG00000084095,5S_rRNA,,
ENSDARG00000084059,5S_rRNA,,
ENSDARG00000082100,5S_rRNA,,
ENSDARG00000082587,5S_rRNA,,
ENSDARG00000085774,5S_rRNA,,
ENSDARG00000084310,5S_rRNA,,
ENSDARG00000082156,5S_rRNA,,
ENSDARG00000083427,5S_rRNA,,
ENSDARG00000108820,5S_rRNA,,
ENSDARG00000107060,5S_rRNA,,
ENSDARG00000107495,5S_rRNA,,
ENSDARG00000080462,snoZ40,ENSG00000202314,SNORD6
ENSDARG00000080462,snoZ40,ENSG00000201410,snoZ40
ENSDARG00000106934,5S_rRNA,,
ENSDARG00000106039,5S_rRNA,,
ENSDARG00000107593,5S_rRNA,,
ENSDARG00000106266,5S_rRNA,,
ENSDARG00000107036,SNORD82,ENSG00000202400,SNORD82
ENSDARG00000106985,5S_rRNA,,
ENSDARG00000083826,SNORA56,ENSG00000206693,SNORA56
ENSDARG00000106265,5S_rRNA,,
ENSDARG00000081235,SNORD14,ENSG00000202479,SNORD14
ENSDARG00000081235,SNORD14,ENSG00000272034,SNORD14A
ENSDARG00000081235,SNORD14,ENSG00000200879,SNORD14E
ENSDARG00000081235,SNORD14,ENSG00000201403,SNORD14B
ENSDARG00000106234,5S_rRNA,,
ENSDARG00000082105,SNORD14,ENSG00000202479,SNORD14
ENSDARG00000082105,SNORD14,ENSG00000272034,SNORD14A
ENSDARG00000082105,SNORD14,ENSG00000200879,SNORD14E
ENSDARG00000082105,SNORD14,ENSG00000201403,SNORD14B
ENSDARG00000106559,5S_rRNA,,
ENSDARG00000082008,SNORD14,ENSG00000202252,SNORD14C
ENSDARG00000108996,5S_rRNA,,
ENSDARG00000105031,SOX2OT_exon1,ENSG00000276074,SOX2OT_exon1
ENSDARG00000080977,5S_rRNA,,
ENSDARG00000085291,SNORD11B,ENSG00000271852,SNORD11B
ENSDARG00000107175,5S_rRNA,,
ENSDARG00000085557,SNORD11B,ENSG00000271852,SNORD11B
ENSDARG00000106976,5S_rRNA,,
ENSDARG00000104420,SNORA79,ENSG00000221303,SNORA79
ENSDARG00000106434,5S_rRNA,,
ENSDARG00000082930,SNORA74,ENSG00000265733,SNORA74C-1
ENSDARG00000082930,SNORA74,ENSG00000252129,SNORA74
ENSDARG00000082930,SNORA74,ENSG00000212402,SNORA74B
ENSDARG00000082930,SNORA74,ENSG00000223111,SNORA74C-2
ENSDARG00000082930,SNORA74,ENSG00000252305,SNORA74
ENSDARG00000102120,SNORA74,ENSG00000252917,SNORA74
ENSDARG00000102120,SNORA74,ENSG00000200959,SNORA74A
ENSDARG00000102120,SNORA74,ENSG00000252213,SNORA74D
ENSDARG00000102120,SNORA74,ENSG00000272025,SNORA74
ENSDARG00000106109,5S_rRNA,,
ENSDARG00000107770,5S_rRNA,,
ENSDARG00000083784,SNORD22,ENSG00000278527,SNORD22
ENSDARG00000083784,SNORD22,ENSG00000277194,SNORD22
ENSDARG00000106302,5S_rRNA,,
ENSDARG00000106025,5S_rRNA,,
ENSDARG00000106586,5S_rRNA,,
ENSDARG00000109073,5S_rRNA,,
ENSDARG00000108217,5S_rRNA,,
ENSDARG00000106417,5S_rRNA,,
ENSDARG00000107114,5S_rRNA,,
ENSDARG00000108458,5S_rRNA,,
ENSDARG00000107857,5S_rRNA,,
ENSDARG00000085083,5S_rRNA,,
ENSDARG00000107642,5S_rRNA,,
ENSDARG00000108061,5S_rRNA,,
ENSDARG00000106205,5S_rRNA,,
ENSDARG00000100714,5S_rRNA,,
ENSDARG00000107793,5S_rRNA,,
ENSDARG00000109110,5S_rRNA,,
ENSDARG00000108162,5S_rRNA,,
ENSDARG00000106995,5S_rRNA,,
ENSDARG00000108146,5S_rRNA,,
ENSDARG00000108502,5S_rRNA,,
ENSDARG00000107247,5S_rRNA,,
ENSDARG00000107988,5S_rRNA,,
ENSDARG00000108659,5S_rRNA,,
ENSDARG00000108806,5S_rRNA,,
ENSDARG00000106113,5S_rRNA,,
ENSDARG00000101092,5S_rRNA,,
ENSDARG00000107860,5S_rRNA,,
ENSDARG00000107023,5S_rRNA,,
ENSDARG00000106019,5S_rRNA,,
ENSDARG00000108578,5S_rRNA,,
ENSDARG00000107246,5S_rRNA,,
ENSDARG00000085188,5S_rRNA,,
ENSDARG00000106283,5S_rRNA,,
ENSDARG00000101173,5S_rRNA,,
ENSDARG00000108506,5S_rRNA,,
ENSDARG00000084086,5S_rRNA,,
ENSDARG00000108999,5S_rRNA,,
ENSDARG00000107795,5S_rRNA,,
ENSDARG00000084766,5S_rRNA,,
ENSDARG00000107215,5S_rRNA,,
ENSDARG00000103465,5S_rRNA,,
ENSDARG00000105937,5S_rRNA,,
ENSDARG00000103974,5S_rRNA,,
ENSDARG00000108536,5S_rRNA,,
ENSDARG00000085427,5S_rRNA,,
ENSDARG00000107126,5S_rRNA,,
ENSDARG00000081104,5S_rRNA,,
ENSDARG00000102166,5S_rRNA,,
ENSDARG00000084858,5S_rRNA,,
ENSDARG00000083770,5S_rRNA,,
ENSDARG00000108692,5S_rRNA,,
ENSDARG00000100848,5S_rRNA,,
ENSDARG00000106897,5S_rRNA,,
ENSDARG00000084684,5S_rRNA,,
ENSDARG00000108922,5S_rRNA,,
ENSDARG00000100989,5S_rRNA,,
ENSDARG00000108019,5S_rRNA,,
ENSDARG00000105298,5S_rRNA,,
ENSDARG00000108040,5S_rRNA,,
ENSDARG00000089891,5S_rRNA,,
ENSDARG00000108732,5S_rRNA,,
ENSDARG00000081340,5S_rRNA,,
ENSDARG00000107578,5S_rRNA,,
ENSDARG00000085360,5S_rRNA,,
ENSDARG00000107663,5S_rRNA,,
ENSDARG00000084391,5S_rRNA,,
ENSDARG00000109033,5S_rRNA,,
ENSDARG00000084040,5S_rRNA,,
ENSDARG00000106648,5S_rRNA,,
ENSDARG00000081470,5S_rRNA,,
ENSDARG00000106069,5S_rRNA,,
ENSDARG00000084045,5S_rRNA,,
ENSDARG00000108148,5S_rRNA,,
ENSDARG00000084287,5S_rRNA,ENSG00000252070,RNA5SP341
ENSDARG00000084287,5S_rRNA,ENSG00000199240,RNA5SP46
ENSDARG00000084287,5S_rRNA,ENSG00000252179,RNA5SP255
ENSDARG00000084287,5S_rRNA,ENSG00000201532,RNA5SP194
ENSDARG00000084287,5S_rRNA,ENSG00000222952,RNA5SP41
ENSDARG00000084287,5S_rRNA,ENSG00000201347,RNA5SP69
ENSDARG00000084287,5S_rRNA,ENSG00000212396,RNA5SP323
ENSDARG00000084287,5S_rRNA,ENSG00000212595,5S_rRNA
ENSDARG00000084287,5S_rRNA,ENSG00000252650,RNA5SP75
ENSDARG00000084287,5S_rRNA,ENSG00000212373,RNA5SP171
ENSDARG00000084287,5S_rRNA,ENSG00000252642,RNA5SP137
ENSDARG00000084287,5S_rRNA,ENSG00000253080,RNA5SP373
ENSDARG00000084287,5S_rRNA,ENSG00000222920,RNA5SP29
ENSDARG00000084287,5S_rRNA,ENSG00000252816,RNA5SP337
ENSDARG00000084287,5S_rRNA,ENSG00000202502,RNA5SP151
ENSDARG00000084849,5S_rRNA,,
ENSDARG00000106657,5S_rRNA,,
ENSDARG00000098473,5S_rRNA,,
ENSDARG00000102677,5S_rRNA,,
ENSDARG00000106362,5S_rRNA,,
ENSDARG00000109060,5S_rRNA,,
ENSDARG00000106751,5S_rRNA,,
ENSDARG00000100748,5S_rRNA,,
ENSDARG00000084530,5S_rRNA,,
ENSDARG00000103857,5S_rRNA,,
ENSDARG00000106327,5S_rRNA,,
ENSDARG00000101253,5S_rRNA,,
ENSDARG00000081540,5S_rRNA,,
ENSDARG00000082113,5S_rRNA,,
ENSDARG00000084065,5S_rRNA,,
ENSDARG00000108200,5S_rRNA,,
ENSDARG00000084341,5S_rRNA,,
ENSDARG00000108868,5S_rRNA,,
ENSDARG00000085328,5S_rRNA,,
ENSDARG00000107507,5S_rRNA,,
ENSDARG00000085478,5S_rRNA,,
ENSDARG00000107462,5S_rRNA,,
ENSDARG00000099944,5S_rRNA,,
ENSDARG00000100507,5S_rRNA,,
ENSDARG00000106879,5S_rRNA,,
ENSDARG00000084594,5S_rRNA,,
ENSDARG00000107704,5S_rRNA,,
ENSDARG00000081032,5S_rRNA,,
